Id,SalePrice
1461,116665.48002265832
1462,153573.02127423737
1463,189795.84644462445
1464,192449.5334865141
1465,209260.91006098784
1466,170520.51079777675
1467,175681.77575374758
1468,160168.42993684515
1469,194561.09363596377
1470,126700.29390412953
1471,183667.9004397897
1472,96821.51393518147
1473,103088.71003248895
1474,144462.96895049379
1475,98401.33924520644
1476,374838.3415337745
1477,255879.82031265824
1478,318521.01044441765
1479,293478.15636427543
1480,451582.6365215039
1481,307413.1880160807
1482,212577.33823381807
1483,172995.6103953575
1484,155992.02019326997
1485,176841.51921407666
1486,192936.95960272875
1487,334424.30152159673
1488,236946.95132352173
1489,196037.34008254143
1490,236929.07731842532
1491,191743.16287629807
1492,92495.81640714208
1493,188747.37814309815
1494,294434.1997130652
1495,299539.6544356731
1496,231328.1751832792
1497,179024.02127077983
1498,160322.15203592682
1499,162138.1920875902
1500,157836.93898572907
1501,184203.85276103255
1502,144856.17244035535
1503,276535.6950186016
1504,236324.26468145207
1505,214465.20794698718
1506,194159.58600640125
1507,255595.29609302728
1508,204943.95133821474
1509,157154.76850024928
1510,146852.300545366
1511,150714.75659211984
1512,186205.61273154503
1513,150336.77978445662
1514,157491.504517346
1515,220594.9129219675
1516,148720.53028522088
1517,176613.60212489442
1518,129977.47809020849
1519,215799.03052215386
1520,132664.97091336246
1521,137580.0883963471
1522,181820.90285846157
1523,122235.47973727001
1524,120706.93301819019
1525,116636.3211754016
1526,101320.04690025031
1527,114295.0571692656
1528,129586.47263406127
1529,154382.54985448965
1530,186656.63109626833
1531,129306.70215836052
1532,92941.54441190397
1533,150004.45422977582
1534,125394.64263043078
1535,163288.91290298165
1536,105051.89117252493
1537,90420.51727173752
1538,162788.8296484508
1539,207234.30691718467
1540,110146.43545753085
1541,135469.13872826658
1542,156700.54099083695
1543,190024.048490741
1544,86414.90126882013
1545,110282.23319678118
1546,131953.40878586503
1547,128395.55230650693
1548,136795.37174197607
1549,120294.44161005091
1550,146243.69184028922
1551,106752.7739089795
1552,159479.30965864443
1553,144989.2542074412
1554,118966.99114521453
1555,170743.313162734
1556,70868.11121088933
1557,112518.3524275707
1558,97921.16232945143
1559,101575.34625000818
1560,129017.1630437929
1561,142861.83768646372
1562,132126.70494201238
1563,122828.08878754449
1564,171754.14159226994
1565,160025.79442935315
1566,227639.46887012073
1567,75541.9463622427
1568,225966.48260723654
1569,150212.8503326893
1570,130382.22118524302
1571,122084.62450519478
1572,148625.07108490614
1573,254979.48577678844
1574,132521.20611343678
1575,230469.9396346101
1576,226462.87207591944
1577,176104.16168530672
1578,136977.02805348334
1579,148517.97974839917
1580,188475.66573793572
1581,145521.92474908498
1582,124758.88045574003
1583,282268.83219361986
1584,216955.56218533395
1585,137470.67801000422
1586,60928.281846550715
1587,91415.36192423433
1588,164109.48133018534
